id;id_products;name;value;image;description
1;53519;Bedfordshire;20985;ferrugem;User-centric 24/7 reintermediate
2;57321;Rondônia metrics moratorium;80649;invoice;Corporate Pound payment
3;34629;Accountability hacking convergence;38922;analyzing Alagoas Robust;bypassing bordô ability
4;98351;invoice Avenida synergize;61779;multi-byte Coordinator efficient;feed Solutions array
5;29665;hacking;21495;redundant modular;calculate
6;1048;multimedia Metal Grosso;35458;alarm;parse Functionality
7;16689;exuding Impressionante;25012;encompassing invoice payment;vermelho well-modulated
8;43431;Dynamic whiteboard Bedfordshire;79768;Rio toolset Right-sized;Group
9;52302;Ruanda action-items Queijo;86707;compressing cutting-edge Sergipe;contextually-based Camiseta bi-directional
10;72517;whiteboard Turismo Piauí;35807;Prático invoice;partnerships Algéria
